num_backend_apis,actual_completion_time_hrs
11,46.28540413395046
4,21.486446316286038
13,59.82266491332694
7,31.047445117160322
19,74.84927864311504
2,20.82495300528988
10,54.74440350205208
13,50.88433580557214
6,29.457581240754863
12,54.025812917926814
12,66.47071840742495
11,48.647766447556535
7,32.668349091589
1,24.8600260127049
1,23.745026238597685
13,46.388225994815684
9,37.71071919856782
3,32.77223085195906
7,39.42410272791542
6,13.242409079459222
8,42.855833112023156
9,49.411650868962575
5,23.299348865895087
1,23.417488524656797
19,86.97855293856577
10,48.170991520515535
12,45.99506963813655
15,55.82030816373934
9,42.10427119813241
17,69.02215673578473
17,66.50259679786546
12,55.01277092276938
7,34.824436856637014
2,22.44498378992176
3,31.71848465862748
17,57.481350777095955
5,30.869694397019085
17,66.84610917622209
17,73.36533372570457
17,64.1862203556051
2,26.224386488398086
2,29.82149972370169
5,15.201576502686148
1,27.34904994760427
1,10.116945622994502
19,63.24847672745221
2,-2.035655147779007
12,44.57457867989882
6,32.96114444279176
4,23.933413549872775
