num_frontend_components,estimated_completion_time_hrs
43,107.28447805324402
33,90.8824461360248
19,52.16351196157513
47,127.44472137679874
12,37.705495461680435
25,76.39348913256123
43,104.84880886077357
23,78.41992264357671
27,105.2831304155244
15,59.436397242823176
15,49.686383160538625
28,88.8176103894861
40,99.90914657134893
44,104.16705786463112
28,87.73700416833682
7,22.118583383370403
26,61.53321902638654
6,16.194087339528934
28,68.69447695318433
48,131.3442888262802
34,100.8212279471304
42,123.87748459593357
6,33.94332330108762
25,80.04997797244735
37,100.42834109895426
16,43.7652260501504
26,59.91846710452517
48,140.99646975784822
29,80.72267878729345
31,83.396166913137
46,136.797163447007
32,81.01792060544322
20,68.34795419230429
19,60.46561384328971
48,119.62170123484518
7,26.741962549718146
41,122.22963533755788
11,45.45595463895942
25,87.45434252883473
13,45.8818125199332
43,151.22296253626672
22,55.79609194932624
8,26.013616099847987
29,81.89135912525254
18,40.81249541408597
13,52.92491617339421
30,94.03532490625842
6,25.1900033106215
24,64.65583546326495
32,75.04946129185664
